Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
1,4.0,Mobile Phone,3.0,6.0,Debit Card,Female,3.0,3.0,Laptop & Accessory,2.0,Single,9.0,1.0,11.0,1.0,1.0,5.0,159.93
1,6.710011640833846,Mobile Phone,1.0,8.0,UPI,Male,3.0,4.0,Mobile Phone,3.0,Single,7.0,1.0,15.0,0.0,1.0,0.0,120.9
1,7.011514746930381,Mobile Phone,1.0,30.0,Debit Card,Male,2.0,4.0,Mobile Phone,3.0,Single,6.0,1.0,14.0,0.0,1.0,3.0,120.28
1,0.0,Mobile Phone,3.0,15.0,Debit Card,Male,2.0,4.0,Laptop & Accessory,5.0,Single,8.0,0.0,23.0,0.0,1.0,3.0,134.07
1,0.0,Mobile Phone,1.0,12.0,Credit Card,Male,2.6779873220055648,3.0,Mobile Phone,5.0,Single,3.0,0.0,11.0,1.0,1.0,3.0,129.6
1,0.0,Computer,1.0,22.0,Debit Card,Female,3.0,5.0,Mobile Phone,5.0,Single,2.0,1.0,22.0,4.0,6.0,7.0,139.19
1,5.277949874321051,Mobile Phone,3.0,11.0,COD,Male,2.0,3.0,Laptop & Accessory,2.0,Divorced,4.0,0.0,14.0,0.0,1.0,0.0,120.86000000000001
1,5.307885103648716,Mobile Phone,1.0,6.0,Credit Card,Male,3.0,3.0,Mobile Phone,2.0,Divorced,3.0,1.0,16.0,2.0,2.0,0.0,122.93
1,13.0,Mobile Phone,3.0,9.0,E wallet,Male,2.65689633923356,4.0,Mobile Phone,3.0,Divorced,2.0,1.0,14.0,0.0,1.0,2.0,126.83000000000001
1,4.127382138845677,Mobile Phone,1.0,31.0,Debit Card,Male,2.0,5.0,Mobile Phone,3.0,Single,2.0,0.0,12.0,1.0,1.0,1.0,122.93
1,4.0,Mobile Phone,1.0,18.0,COD,Female,2.0,3.0,Others,3.0,Divorced,2.0,0.0,15.533716676308543,9.0,15.0,8.0,295.45
1,11.0,Mobile Phone,1.0,6.0,Debit Card,Male,3.0,4.0,Fashion,3.0,Single,10.0,1.0,13.0,0.0,1.0,0.0,153.81
1,0.0,Mobile Phone,1.0,11.0,COD,Male,2.0,3.0,Mobile Phone,3.0,Single,2.0,1.0,13.0,2.0,2.0,2.0,134.41
1,0.0,Mobile Phone,1.0,15.0,Credit Card,Male,3.0,4.0,Mobile Phone,3.0,Divorced,1.0,1.0,17.0,0.0,1.0,0.0,133.88
1,9.0,Mobile Phone,3.0,15.0,Credit Card,Male,3.0,4.0,Fashion,2.0,Single,2.0,0.0,16.0,0.0,4.0,7.0,196.19
1,5.388389852467667,Mobile Phone,2.0,12.0,UPI,Male,3.0,3.0,Mobile Phone,5.0,Married,5.0,1.0,22.0,1.0,1.0,2.0,120.72999999999999
1,0.0,Computer,1.0,12.0,Debit Card,Female,2.881395115711686,4.0,Mobile Phone,2.0,Single,2.0,1.0,18.0,1.0,1.0,0.0,129.26
1,0.0,Mobile Phone,3.0,11.0,E wallet,Male,2.0,4.0,Laptop & Accessory,3.0,Single,2.0,1.0,11.0,1.0,1.0,3.0,157.44
1,0.0,Computer,1.0,13.0,Debit Card,Male,3.0,5.0,Laptop & Accessory,3.0,Single,2.0,1.0,24.0,1.0,1.0,6.0,160.74
1,19.0,Mobile Phone,1.0,20.0,Debit Card,Female,3.0,3.0,Mobile Phone,4.0,Divorced,10.0,1.0,18.0,1.0,4.0,3.0,149.63
1,0.0,Mobile Phone,3.0,12.0,Debit Card,Male,3.0,5.0,Laptop & Accessory,3.0,Divorced,5.0,1.0,18.0,6.0,7.0,7.0,161.72
1,20.0,Mobile Phone,1.0,29.0,Credit Card,Female,3.0,3.0,Fashion,2.0,Divorced,2.0,0.0,12.0,11.0,15.0,6.0,203.12
1,3.4570948917203266,Mobile Phone,3.0,28.0,E wallet,Male,2.0,3.0,Mobile Phone,3.0,Single,2.0,1.0,19.0,0.0,1.0,0.0,116.75
